SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
3/19/2018 12:00:00 AM,1,491,537
3/20/2018 12:00:00 AM,1,496,553
3/21/2018 12:00:00 AM,1,439,503
3/22/2018 12:00:00 AM,1,404,474
3/23/2018 12:00:00 AM,2,438,476
3/24/2018 12:00:00 AM,1,502,541
3/25/2018 12:00:00 AM,1,454,499
3/26/2018 12:00:00 AM,1,543,587
3/27/2018 12:00:00 AM,1,471,526
3/28/2018 12:00:00 AM,1,458,496
3/29/2018 12:00:00 AM,1,501,536
3/30/2018 12:00:00 AM,1,446,505
3/31/2018 12:00:00 AM,1,444,517
4/1/2018 12:00:00 AM,2,452,485
4/2/2018 12:00:00 AM,1,469,525
4/3/2018 12:00:00 AM,2,376,402
4/4/2018 12:00:00 AM,2,326,354
4/5/2018 12:00:00 AM,2,404,444
4/6/2018 12:00:00 AM,1,425,456
4/7/2018 12:00:00 AM,1,582,628
4/8/2018 12:00:00 AM,1,517,547
4/9/2018 12:00:00 AM,1,495,537
4/10/2018 12:00:00 AM,1,495,529
4/11/2018 12:00:00 AM,1,394,413
4/12/2018 12:00:00 AM,1,446,467
4/13/2018 12:00:00 AM,1,410,453
4/14/2018 12:00:00 AM,1,417,452
4/15/2018 12:00:00 AM,1,387,425
4/16/2018 12:00:00 AM,1,519,551
4/17/2018 12:00:00 AM,1,438,471
4/18/2018 12:00:00 AM,1,508,539
4/19/2018 12:00:00 AM,1,388,440
4/20/2018 12:00:00 AM,1,471,503
